City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
159,Roxana,CR,2021-07-14 19:32:22,10.2753,-83.7513,90.12,90,100,3.89
160,Kathu,TH,2021-07-14 19:32:22,7.9178,98.3332,79.7,99,100,6.4
161,Salekhard,RU,2021-07-14 19:32:22,66.53,66.6019,49.77,64,99,7.99
162,Coruripe,BR,2021-07-14 19:27:23,-10.1256,-36.1756,78.04,78,4,10.33
163,Sitka,US,2021-07-14 19:32:23,57.0531,-135.33,55.29,82,90,0.0
164,Kavieng,PG,2021-07-14 19:32:23,-2.5744,150.7967,81.81,77,73,9.4
165,Dikson,RU,2021-07-14 19:32:23,73.5069,80.5464,36.46,88,100,12.62
166,Souillac,MU,2021-07-14 19:32:24,-20.5167,57.5167,71.98,68,40,11.5
167,Lagos,NG,2021-07-14 19:32:24,6.5833,3.75,80.92,82,13,6.35
168,Lorengau,PG,2021-07-14 19:32:24,-2.0226,147.2712,81.03,82,83,9.57
169,Yellowknife,CA,2021-07-14 19:32:08,62.456,-114.3525,77.29,68,100,5.99
170,Paramonga,PE,2021-07-14 19:32:25,-10.6667,-77.8333,67.69,74,29,12.93
171,Longyearbyen,SJ,2021-07-14 19:32:25,78.2186,15.6401,42.64,87,75,12.66
172,College,US,2021-07-14 19:29:51,64.8569,-147.8028,64.2,81,90,3.44
173,Toronto,CA,2021-07-14 19:32:00,43.7001,-79.4163,87.49,65,32,1.99
174,Sosnovo-Ozerskoye,RU,2021-07-14 19:32:26,52.5249,111.5418,56.64,98,100,8.57
175,Nyurba,RU,2021-07-14 19:32:26,63.2842,118.3319,57.24,78,100,11.83
176,Dzerzhinsk,RU,2021-07-14 19:32:27,56.2389,43.4631,69.62,78,40,8.95
177,Bethel,US,2021-07-14 19:32:27,41.3712,-73.414,88.36,72,40,6.91
178,Dusetos,LT,2021-07-14 19:32:27,55.75,25.85,66.29,97,5,5.19
179,Saskylakh,RU,2021-07-14 19:32:28,71.9167,114.0833,43.32,68,100,17.67
180,Cadereyta,MX,2021-07-14 19:32:28,25.5833,-99.9833,90.59,34,100,14.83
181,Port Hedland,AU,2021-07-14 19:32:28,-20.3167,118.5667,64.45,63,10,11.5
182,Rockland,US,2021-07-14 19:32:29,41.1668,-74.0496,90.84,67,82,1.01
183,Velingara,SN,2021-07-14 19:32:29,13.15,-14.1167,83.19,73,78,9.19
184,Grindavik,IS,2021-07-14 19:32:30,63.8424,-22.4338,52.56,93,75,25.32
185,Ixtapa,MX,2021-07-14 19:32:30,20.7,-105.2,89.22,58,40,5.75
186,Alanya,TR,2021-07-14 19:30:28,36.5438,31.9998,82.53,55,0,3.0
187,Andros Town,BS,2021-07-14 19:32:30,24.7,-77.7667,85.96,68,7,15.59
188,Balgazyn,RU,2021-07-14 19:32:31,51.0,95.2,58.6,63,82,2.71
189,Zhanaozen,KZ,2021-07-14 19:32:31,43.3,52.8,80.62,26,97,12.19
190,Pisco,PE,2021-07-14 19:32:32,-13.7,-76.2167,68.05,73,0,12.66
191,Oswego,US,2021-07-14 19:29:53,43.4501,-76.1497,81.95,72,10,7.0
192,Mar Del Plata,AR,2021-07-14 19:32:32,-38.0023,-57.5575,54.23,67,0,5.01
193,Almeirim,BR,2021-07-14 19:32:33,-1.5233,-52.5817,78.42,82,100,2.84
194,Rumford,US,2021-07-14 19:27:33,44.5537,-70.5509,74.32,98,100,2.71
195,Kingsport,US,2021-07-14 19:32:33,36.5484,-82.5618,86.56,57,75,1.01
196,Kavaratti,IN,2021-07-14 19:32:34,10.5669,72.642,82.94,83,96,18.88
197,Flin Flon,CA,2021-07-14 19:32:34,54.7682,-101.865,80.31,26,99,6.46
198,Suleja,NG,2021-07-14 19:32:34,9.1758,7.1808,74.21,87,98,1.66
199,Hede,CN,2021-07-14 19:32:35,33.7681,120.2517,76.93,96,61,9.89
200,Cantanhede,BR,2021-07-14 19:32:35,-3.6333,-44.3767,89.76,43,19,2.15
201,Riverton,US,2021-07-14 19:32:36,40.5219,-111.9391,96.51,30,1,8.01
202,Autun,FR,2021-07-14 19:32:36,46.95,4.3,61.5,100,100,3.62
203,Yatou,CN,2021-07-14 19:32:37,37.15,122.3833,74.86,97,90,14.29
204,Elk City,US,2021-07-14 19:29:30,35.412,-99.4043,89.58,48,1,19.57
205,Castro,BR,2021-07-14 19:32:37,-24.7911,-50.0119,64.89,59,16,4.94
206,Kodiak,US,2021-07-14 19:32:37,57.79,-152.4072,58.51,67,90,0.0
207,Mahebourg,MU,2021-07-14 19:32:38,-20.4081,57.7,71.89,68,40,11.5
208,Puerto Escondido,MX,2021-07-14 19:32:38,15.85,-97.0667,88.63,58,75,4.61
209,Buta,CD,2021-07-14 19:32:38,2.7858,24.73,72.64,85,96,2.15
210,Aksarka,RU,2021-07-14 19:32:39,66.5606,67.7975,48.56,64,100,8.39
211,Jamestown,US,2021-07-14 19:30:21,42.097,-79.2353,79.18,69,28,4.0
212,Kaitangata,NZ,2021-07-14 19:32:39,-46.2817,169.8464,44.92,63,86,6.44
213,Araceli,PH,2021-07-14 19:32:40,10.5529,119.9913,82.27,76,100,2.71
214,Kolondieba,ML,2021-07-14 19:32:40,11.0882,-6.8926,83.52,57,100,7.09
215,Ahipara,NZ,2021-07-14 19:32:40,-35.1667,173.1667,47.14,77,10,2.48
216,Hami,CN,2021-07-14 19:32:41,42.8,93.45,77.81,43,100,11.21
217,Maniwaki,CA,2021-07-14 19:32:41,46.3834,-75.966,84.15,38,7,9.86
218,Roald,NO,2021-07-14 19:32:41,62.5833,6.1333,71.17,88,75,9.22
219,Bubaque,GW,2021-07-14 19:32:42,11.2833,-15.8333,80.44,82,100,12.82
220,Faanui,PF,2021-07-14 19:32:42,-16.4833,-151.75,79.9,69,36,20.02
221,Varhaug,NO,2021-07-14 19:32:43,58.6147,5.6457,62.47,91,10,14.43
